Sonic Frontiers,sonic frontiers,PS5,PS5,2022,Platformer,Sonic Team,,Sonic,sonic.frontiers|frontiers
Sonic Forces,sonic forces,PS4,PS4,2017,Platformer,Sonic Team,,Sonic,sonic.forces|forces
Sonic Mania,sonic mania,PS4,PS4,2017,Platformer,PagodaWest,Sonic Mania Plus,Sonic,sonic.mania|mania
Sonic Generations,sonic generations,PS3,PS3,2011,Platformer,Sonic Team,,Sonic,sonic.generations|generations
Sonic Colors Ultimate,sonic colors ultimate,PS4,PS4,2021,Platformer,Sonic Team,Sonic Colours Ultimate,Sonic,sonic.colors.ultimate|sonic.colours.ultimate|colors.ultimate|colours.ultimate
Sonic Colors,sonic colors,Wii,Wii,2010,Platformer,Sonic Team,Sonic Colours,Sonic,sonic.colors|sonic.colours|colors
Sonic Unleashed,sonic unleashed,PS3,PS3,2008,Platformer,Sonic Team,Sonic World Adventure,Sonic,sonic.unleashed|unleashed|world.adventure
Sonic and the Black Knight,sonic and the black knight,Wii,Wii,2009,Action,Sonic Team,Sonic Black Knight,Sonic,sonic.and.the.black.knight|sonic.black.knight|black.knight
Sonic and the Secret Rings,sonic and the secret rings,Wii,Wii,2007,Action,Sonic Team,Sonic Secret Rings,Sonic,sonic.and.the.secret.rings|sonic.secret.rings|secret.rings
Sonic Heroes,sonic heroes,PS2,PS2,2003,Platformer,Sonic Team,,Sonic,sonic.heroes|heroes
Sonic Adventure 2,sonic adventure 2,DC,DC,2001,Platformer,Sonic Team,SA2|Sonic Adventure 2 Battle,Sonic,sonic.adventure.2|sa2|sonic.adventure.2.battle|sa2b
Sonic Adventure,sonic adventure,DC,DC,1998,Platformer,Sonic Team,SA1|Sonic Adventure DX,Sonic,sonic.adventure|sa|sa1|sonic.adventure.dx|sadx
Sonic 3D Blast,sonic 3d blast,Genesis,GEN,1996,Platformer,Travellers Tales,Sonic 3D Flickies Island,Sonic,sonic.3d.blast|sonic.3d|sonic.3d.flickies.island|3d.blast
Sonic R,sonic r,Saturn,SAT,1997,Racing,Travellers Tales,,Sonic,sonic.r|sonicr
Sonic the Fighters,sonic the fighters,Arcade,ARC,1996,Fighting,Sonic Team,Sonic Championship,Sonic,sonic.the.fighters|sonic.fighters|sonic.championship
Sonic CD,sonic cd,SCD,SCD,1993,Platformer,Sonic Team,,Sonic,sonic.cd|soniccd|scd
Sonic 3 and Knuckles,sonic 3 and knuckles,Genesis,GEN,1994,Platformer,Sonic Team,Sonic 3|Sonic & Knuckles,Sonic,sonic.3|sonic.and.knuckles|sonic.3.and.knuckles|s3|s3k|sonic.and.knuckles
Sonic the Hedgehog 3,sonic the hedgehog 3,Genesis,GEN,1994,Platformer,Sonic Team,Sonic 3 Alone,Sonic,sonic.3|sonic.the.hedgehog.3
Sonic and Knuckles,sonic and knuckles,Genesis,GEN,1994,Platformer,Sonic Team,S&K,Sonic,sonic.and.knuckles|s.and.k|sandk|sonic.knuckles
Sonic the Hedgehog 2,sonic the hedgehog 2,Genesis,GEN,1992,Platformer,Sonic Team,Sonic 2,Sonic,sonic.2|sonic.the.hedgehog.2|sonic2|sth2
Sonic the Hedgehog,sonic the hedgehog,Genesis,GEN,1991,Platformer,Sonic Team,Sonic 1,Sonic,sonic.1|sonic.the.hedgehog|sonic|sthn|sonic1|sth1
Knuckles Chaotix,knuckles chaotix,32X,32X,1995,Platformer,Sonic Team,Chaotix,Sonic,chaotix|knuckles.chaotix|knuckles|kchn
Sonic Spinball,sonic spinball,Genesis,GEN,1993,Pinball,Sonic Team,Sonic The Hedgehog Spinball,Sonic,sonic.spinball|spinball
Dr Robotniks Mean Bean Machine,dr robotniks mean bean machine,Genesis,GEN,1993,Puzzle,Compile,Mean Bean Machine,Puyo Puyo,mean.bean.machine|dr.robotniks.mean.bean.machine|robotniks|robotniks.mean.bean
SegaSonic the Hedgehog,segasonic the hedgehog,Arcade,ARC,1993,Platformer,Sega AM3,,Sonic,segasonic|segasonic.the.hedgehog
Tails Adventure,tails adventure,GG,GG,1995,Platformer,Aspect,,Sonic,tails.adventure
Tails Skypatrol,tails skypatrol,GG,GG,1995,Shooter,Japan System Supply,,Sonic,tails.skypatrol
Knuckles Sonic 2,knuckles sonic 2,Genesis,GEN,1994,Platformer,Sonic Team,Knuckles in Sonic 2,Sonic,knuckles.sonic.2|knuckles.in.sonic.2
Sonic Triple Trouble,sonic triple trouble,GG,GG,1994,Platformer,Aspect,Sonic and Tails 2,Sonic,sonic.triple.trouble|triple.trouble|sonic.and.tails.2
Sonic Blast,sonic blast,GG,GG,1996,Platformer,Aspect,G Sonic,Sonic,sonic.blast|blast|g.sonic
Sonic Labyrinth,sonic labyrinth,GG,GG,1995,Action,Sonic Team,,Sonic,sonic.labyrinth
Sonic Drift,sonic drift,GG,GG,1994,Racing,Sonic Team,,Sonic,sonic.drift|drift
Sonic Drift 2,sonic drift 2,GG,GG,1995,Racing,Sonic Team,,Sonic,sonic.drift.2|drift.2
Sega Genesis Classics,sega genesis classics,PS4,PS4,2018,Compilation,Sega,Sega Mega Drive Classics,Sega,sega.genesis.classics|sega.mega.drive.classics|genesis.classics|mega.drive.classics
Sonic Origins,sonic origins,PS5,PS5,2022,Compilation,Sonic Team,,Sonic,sonic.origins|origins
Sonic Origins Plus,sonic origins plus,PS5,PS5,2023,Compilation,Sonic Team,,Sonic,sonic.origins.plus|origins.plus
Sonic Mega Collection,sonic mega collection,GC,GC,2002,Compilation,Sonic Team,Sonic Mega Collection Plus,Sonic,sonic.mega.collection|sonic.mega.collection.plus|mega.collection
Sonic Gems Collection,sonic gems collection,GC,GC,2005,Compilation,Sonic Team,,Sonic,sonic.gems.collection|gems.collection
Sonic Classic Collection,sonic classic collection,DS,DS,2010,Compilation,Sonic Team,,Sonic,sonic.classic.collection|classic.collection
Sega Ages Sonic the Hedgehog,sega ages sonic,Switch,Switch,2018,Port,M2,Sonic 1 Sega Ages,Sonic,sega.ages.sonic|sega.ages.sonic.the.hedgehog|sega.ages.sonic.1
Sega Ages Sonic the Hedgehog 2,sega ages sonic 2,Switch,Switch,2018,Port,M2,Sonic 2 Sega Ages,Sonic,sega.ages.sonic.2|sega.ages.sonic.the.hedgehog.2
Sega Ages Sonic CD,sega ages sonic cd,Switch,Switch,2019,Port,M2,Sonic CD Sega Ages,Sonic,sega.ages.sonic.cd
Super Mario Bros 2,super mario bros 2,NES,NES,1988,Platformer,Nintendo,SMB2|Super Mario USA,Super Mario,super.mario.bros.2|smb2|super.mario.usa|mario.usa
Super Mario Bros 3,super mario bros 3,NES,NES,1988,Platformer,Nintendo,SMB3,Super Mario,super.mario.bros.3|smb3
Super Mario Bros,super mario bros,NES,NES,1985,Platformer,Nintendo,SMB1|SMB,Super Mario,super.mario.bros|smb|smb1|super.mario.bros.1
Mario Bros,mario bros,Arcade,ARC,1983,Platformer,Nintendo,,Mario,mario.bros
Wrecking Crew,wrecking crew,NES,NES,1985,Action,Nintendo,,Mario,wrecking.crew
Donkey Kong, donkey kong,Arcade,ARC,1981,Platformer,Nintendo,,Donkey Kong,donkey.kong|dk
Donkey Kong Jr, donkey kong jr,Arcade,ARC,1982,Platformer,Nintendo,Donkey Kong Junior,Donkey Kong,donkey.kong.jr|donkey.kong.junior|dk.jr|dkjr
Donkey Kong 3,donkey kong 3,Arcade,ARC,1983,Shooter,Nintendo,,Donkey Kong,donkey.kong.3|dk3
Donkey Kong Country,donkey kong country,SNES,SNES,1994,Platformer,Rare,DKC,Donkey Kong,donkey.kong.country|dkc
Donkey Kong Country 2,donkey kong country 2,SNES,SNES,1995,Platformer,Rare,DKC2,Donkey Kong,donkey.kong.country.2|dkc2
Donkey Kong Country 3,donkey kong country 3,SNES,SNES,1996,Platformer,Rare,DKC3,Donkey Kong,donkey.kong.country.3|dkc3
Donkey Kong Land,donkey kong land,GB,GB,1995,Platformer,Rare,DKL,Donkey Kong,donkey.kong.land|dkl
Donkey Kong Land 2,donkey kong land 2,GB,GB,1996,Platformer,Rare,DKL2,Donkey Kong,donkey.kong.land.2|dkl2
Donkey Kong Land 3,donkey kong land 3,GB,GB,1997,Platformer,Rare,DKL3,Donkey Kong,donkey.kong.land.3|dkl3
Diddy Kong Racing,diddy kong racing,N64,N64,1997,Racing,Rare,,Donkey Kong,diddy.kong.racing|diddy.kong|dkr
Donkey Kong 64,donkey kong 64,N64,N64,1999,Platformer,Rare,DK64,Donkey Kong,donkey.kong.64|dk64
Donkey Konga,donkey konga,GC,GC,2003,Rhythm,Namco,,Donkey Kong,donkey.konga|konga
Donkey Konga 2,donkey konga 2,GC,GC,2004,Rhythm,Namco,,Donkey Kong,donkey.konga.2|konga.2
Donkey Kong Jungle Beat,donkey kong jungle beat,GC,GC,2004,Platformer,Nintendo EAD,,Donkey Kong,donkey.kong.jungle.beat|jungle.beat|dkjb
DK King of Swing,dk king of swing,GBA,GBA,2005,Platformer,Paon,,Donkey Kong,dk.king.of.swing|king.of.swing|dk.kos
DK Jungle Climber,dk jungle climber,DS,DS,2007,Platformer,Paon,,Donkey Kong,dk.jungle.climber|jungle.climber|dk.jc
Donkey Kong Barrel Blast,donkey kong barrel blast,Wii,Wii,2007,Racing,Paon,Donkey Kong Jet Race,Donkey Kong,donkey.kong.barrel.blast|dk.barrel.blast|barrel.blast
Donkey Kong Country Returns,donkey kong country returns,Wii,Wii,2010,Platformer,Retro Studios,DKCR,Donkey Kong,donkey.kong.country.returns|dkcr|dk.returns
Donkey Kong Country Returns 3D,donkey kong country returns 3d,3DS,3DS,2013,Platformer,Monster Games,DKCR 3D,Donkey Kong,donkey.kong.country.returns.3d|dkcr.3d|dkcr3d
Donkey Kong Country Tropical Freeze,donkey kong country tropical freeze,Wii U,WiiU,2014,Platformer,Retro Studios,DKCTF,Donkey Kong,donkey.kong.country.tropical.freeze|dkctf|tropical.freeze
Donkey Kong Country Tropical Freeze Switch,donkey kong country tropical freeze switch,Switch,Switch,2018,Platformer,Retro Studios,DKCTF Switch,Donkey Kong,donkey.kong.country.tropical.freeze.switch|dkctf.switch|tropical.freeze.switch
Donkey Kong Bananza,donkey kong bananza,Switch 2,Switch2,2025,Platformer,Nintendo,,Donkey Kong,donkey.kong.bananza|bananza
Mario vs Donkey Kong,mario vs donkey kong,GBA,GBA,2004,Puzzle,Nintendo Software Technology,MvsDK,Donkey Kong,mario.vs.donkey.kong|mariovsdk|mvsdk
Mario vs Donkey Kong 2 March of the Minis,mario vs donkey kong 2,DS,DS,2006,Puzzle,Nintendo Software Technology,MvsDK2,Donkey Kong,mario.vs.donkey.kong.2|mvsdk2|march.of.the.minis
Mario vs Donkey Kong Minis March Again,mario vs donkey kong minis march again,DSi,DSi,2009,Puzzle,Nintendo Software Technology,MvsDK MMA,Donkey Kong,mario.vs.donkey.kong.minis.march.again|mvsdk.mma|minis.march.again
Mario vs Donkey Kong Mini-Land Mayhem,mario vs donkey kong mini land mayhem,DS,DS,2010,Puzzle,Nintendo Software Technology,MvsDK Mini-Land,Donkey Kong,mario.vs.donkey.kong.mini.land.mayhem|mvsdk.mini.land|mini.land.mayhem
Mario and Donkey Kong Minis on the Move,mario and donkey kong minis on the move,3DS,3DS,2013,Puzzle,Nintendo Software Technology,MvsDK Minis on the Move,Donkey Kong,mario.and.donkey.kong.minis.on.the.move|minis.on.the.move
Mario vs Donkey Kong Tipping Stars,mario vs donkey kong tipping stars,Wii U,WiiU,2015,Puzzle,Nintendo Software Technology,MvsDK Tipping Stars,Donkey Kong,mario.vs.donkey.kong.tipping.stars|tipping.stars
Mini Mario & Friends Amiibo Challenge,mini mario and friends amiibo challenge,Wii U,WiiU,2016,Puzzle,Nintendo Software Technology,Mini Mario Amiibo,Donkey Kong,mini.mario.and.friends.amiibo.challenge|mini.mario.amiibo
Mario vs Donkey Kong Switch,mario vs donkey kong switch,Switch,Switch,2024,Puzzle,Nintendo Software Technology,MvsDK Switch,Donkey Kong,mario.vs.donkey.kong.switch
The Legend of Zelda,legend of zelda,NES,NES,1986,Action-Adventure,Nintendo R&D4,Zelda 1|LoZ|TLoZ,The Legend of Zelda,the.legend.of.zelda|zelda.1|zelda|loz|tloz|legend.of.zelda
Zelda II The Adventure of Link,legend of zelda 2,NES,NES,1987,Action-Adventure,Nintendo R&D4,Zelda 2|Adventure of Link,The Legend of Zelda,zelda.2|zelda.ii|adventure.of.link|zelda.ii.the.adventure.of.link
A Link to the Past,link to the past,SNES,SNES,1991,Action-Adventure,Nintendo EAD,ALttP|LTTP|Zelda 3,The Legend of Zelda,alttp|lttp|zelda.3|zelda.alttp|a.link.to.the.past|link.to.the.past
Links Awakening,links awakening,GB,GB,1993,Action-Adventure,Nintendo EAD,Zelda LA|LA|Links Awakening GB,The Legend of Zelda,links.awakening|la|links.awakening.gb|zelda.la
Links Awakening DX,links awakening dx,GBC,GBC,1998,Action-Adventure,Nintendo EAD,Links Awakening DX|LADX,The Legend of Zelda,links.awakening.dx|ladx
